id,p_sour,p_name,c_numb,colors
84,zhihu,nameless,5,"#0A87D7, #6F5B9B, #81AA2A, #AEA3CD, #B5711E"
85,zhihu,nameless,5,"#9BBBE1, #BABABC, #C8C2E4, #E0B77F, #F09BA0"
86,zhihu,nameless,5,"#074C9B, #4292C6, #BD0026, #FD8D3C, #FFFFB2"
87,zhihu,nameless,5,"#37AB78, #589FF3, #808080, #F3B169, #F94141"
88,zhihu,nameless,5,"#5B3660, #60966D, #63ADEE, #E90F44, #FFC839"
89,zhihu,nameless,5,"#A7D2BA, #ABC6E4, #C39398, #D0CADE, #FCDABA"
90,zhihu,nameless,6,"#4A4F7E, #719AAC, #72B063, #94C6CD, #B8DBB3, #E29135"
91,zhihu,nameless,6,"#3E608D, #4E1945, #8CBF87, #8D2F25, #909291, #CB9475"
92,zhihu,nameless,6,"#A0D0D0, #A7C0DF, #B7F5DE, #D5AABE, #DCA7EB, #EAE936"
93,zhihu,nameless,6,"#547BB4, #629C35, #6C61AF, #6F6F6F, #C0321A, #DD7C4F"
94,zhihu,nameless,6,"#257D8B, #68BED9, #BFDFD2, #EAA558, #ED8D5A, #EFCE87"
95,zhihu,nameless,6,"#156434, #218D42, #4583B6, #4DB748, #B02425, #FAA419"
96,zhihu,nameless,6,"#156434, #1F8E42, #4583B6, #4DB748, #B02425, #FAA419"
97,zhihu,nameless,6,"#79438E, #7EA4D1, #807C7D, #82AD7F, #C1565E, #DCA96A"
98,zhihu,nameless,6,"#000000, #32183C, #36659E, #40B7AD, #A21A54, #E7724F"
99,zhihu,nameless,6,"#B6B3D6, #CFCFD0, #DAD7E9, #E9687A, #F58F7A, #FDE2D8"
100,zhihu,nameless,6,"#1F77B4, #282973, #47A1A2, #708090, #DAA628, #F9BFCB"
101,zhihu,nameless,6,"#B2DBB9, #B8E5FA, #EEC186, #EEF0A7, #F7A6AC, #F7B7D2"
102,zhihu,nameless,6,"#099A63, #55A0FB, #91BFFA, #A09FA4, #AD07E3, #FEA0A0"
103,zhihu,nameless,6,"#3AB5B3, #5567B1, #80C66D, #954F97, #B3D5F1, #F0686C"
104,zhihu,nameless,6,"#3C9BC9, #76CBB4, #F88455, #FC757B, #FDCA93, #FFE59B"
105,zhihu,nameless,6,"#669A38, #6897CF, #EDEDEF, #F3ED99, #F58C86, #F6D586"
106,zhihu,nameless,6,"#3B5BA8, #73ABE4, #751A29, #759D3A, #AC4828, #CFA72D"
107,zhihu,nameless,6,"#45546A, #4770B5, #71AD48, #A3A3A3, #ED7D31, #FBBE0A"
108,zhihu,nameless,6,"#6AD1A3, #84ADDC, #88B6F1, #989898, #FF988B, #FFDE7B"
109,zhihu,nameless,6,"#8BABD3, #A58BD4, #ADDEAD, #D7B0B0, #DDAF70, #DE767C"
110,zhihu,nameless,6,"#377EB8, #BFBFBF, #D2EBD2, #E1F3FA, #E41A1C, #FFF0B1"
111,zhihu,nameless,6,"#36A9E1, #5C6572, #ADB2B9, #C2E5F6, #EB5B25, #F5AD92"
112,zhihu,nameless,6,"#80A3D5, #AA8873, #BF91D5, #D4C140, #FF8080, #FFBB80"
113,zhihu,nameless,6,"#478AC1, #8A9B6D, #98C9D5, #C198B3, #E4B78A, #FFEEC0"
114,zhihu,nameless,6,"#178642, #2356A7, #83B6E1, #A0D293, #ED342F, #F69A9B"
115,zhihu,nameless,6,"#000000, #345684, #878787, #A21549, #C3752B, #DAC1A2"
116,zhihu,nameless,6,"#496648, #8D8988, #9DBF83, #AC151C, #D2878C, #F5F291"
117,zhihu,nameless,6,"#391A53, #3B4293, #828387, #8F1B26, #91C6F2, #974F91"
118,zhihu,nameless,6,"#2481C4, #8A8A88, #C4C2DA, #C7C7C5, #DE061E, #F7D8D6"
119,zhihu,nameless,6,"#0C4E9B, #6B98C4, #C72228, #F5867F, #F98F34, #FFBC80"
120,zhihu,nameless,6,"#3B549D, #6BBC46, #9EAAD1, #B4DEA2, #D3272B, #F29091"
121,zhihu,nameless,6,"#000000, #23B2E0, #A5CC5B, #C2C2C2, #EEBEC0, #EF2C2B"
122,zhihu,nameless,6,"#000000, #338FEB, #5CA400, #8BCF02, #B31761, #E7308B"
123,zhihu,nameless,6,"#354898, #6B6B6B, #972D36, #C55645, #FAAE5F, #T3ABCF"
124,zhihu,nameless,6,"#168676, #27447C, #4871B3, #991F22, #B88640, #E73C36"
125,zhihu,nameless,6,"#3E6790, #646774, #6483A4, #858892, #AF873E, #BD9E64"
126,zhihu,nameless,6,"#324C63, #386195, #3981AF, #5499BD, #6FB9D0, #91CDC8"
127,zhihu,nameless,6,"#80B1D3, #8DD1C6, #BDBADB, #F47F72, #FBB463, #FBF8B4"
128,zhihu,nameless,7,"#4485C7, #682487, #7ABBDB, #84BA42, #A51C36, #D4562E, #DBB428"
129,zhihu,nameless,7,"#979998, #C69287, #DDDDDF, #E4CD87, #E79A90, #EFBC91, #FAE5B8"
130,zhihu,nameless,7,"#004600, #18BECF, #78B428, #7F7F7F, #BCBD23, #C8E63C, #FFE494"
131,zhihu,nameless,7,"#000000, #098036, #4B57A2, #D3D3D3, #EE7D80, #F9BE80, #FCDFC0"
132,zhihu,nameless,7,"#349F2B, #666666, #66A61E, #A5761C, #B2DF8A, #CCCCCC, #E5AB02"
133,zhihu,nameless,7,"#00ADEF, #63BA45, #D7DCBE, #D9DDBA, #E69C81, #E6BA9D, #E7CEA5"
134,zhihu,nameless,7,"#9DD3AF, #C0E2CA, #D1B494, #D9EEDF, #E0C79F, #F1DEBD, #FFFBD5"
135,zhihu,nameless,7,"#581036, #6E8E9D, #777777, #97A4AA, #A65655, #B98E95, #F3EAE1"
136,zhihu,nameless,7,"#6295D7, #67AFD5, #6AB3A2, #7488C5, #95A938, #AD3688, #CA645F"
137,zhihu,nameless,7,"#87A4EA, #898CF3, #9881F3, #A1C6E0, #B6D3CF, #D0BEB0, #D7D1C5"
138,zhihu,nameless,8,"#34183E, #4D779B, #585D5E, #606060, #82093B, #C45C69, #CD3B42, #FFC04D"
